Gene,Entrez,P-value,Multiple testing corrected p-value,Z-score,Twist1,Control,Quantity,Human orthologue
Fibin,67606.0,1.96511264664279e-12,7.63467168674412e-10,7.03693727219349,597.178747350339,54.0222281790744,3.46653777213963,FIBIN
Stard5,170460.0,2.08264551353622e-12,7.92273064107737e-10,7.02883535551331,6545.45242186926,1858.68419244369,1.81621125083174,STARD5
Itga8,241226.0,3.48571509277503e-12,1.29896239987902e-09,-6.95660458711878,1292.27902643781,4795.65401405065,-1.89180997057791,ITGA8
Tfcp2l1,81879.0,8.8298937014013e-12,3.22467717975175e-09,-6.82439124350235,2105.94633500698,7178.54037750384,-1.7692218554909,TFCP2L1
Sorcs2,81840.0,1.03063096660806e-11,3.69006302946337e-09,6.80215852360577,960.709270050599,166.773408993263,2.5262106303467,SORCS2
Celsr1,12614.0,1.502734222612e-11,5.27690902017214e-09,6.74763594169675,4213.44275323711,1178.16503656853,1.83845787878234,CELSR1
E030013I19Rik,338535.0,2.05422456313785e-11,7.07738500432022e-09,-6.70211628453589,65.0516982289566,582.454206302967,-3.1624860013924,
Dusp1,19252.0,2.69255762588437e-11,9.10483374974974e-09,6.66247411020048,2601.9277283074,744.524224184849,1.80519019513348,DUSP1
Fads1,76267.0,3.1721296964551e-11,1.05314705922309e-08,-6.63835044522551,3187.9516851631,10666.6794365395,-1.7424094616331,FADS1
Slco1a5,108096.0,3.56716545395401e-11,1.16315073552143e-08,-6.6210250348216,227.188830400638,1444.10799472127,-2.66821482283293,SLCO1A2
Hey1,15213.0,3.99251234442976e-11,1.27900483174188e-08,-6.60435519653224,1428.09660486052,4986.67816083317,-1.80398551971833,HEY1
Wdr72,546144.0,4.35178902268258e-11,1.37006323369283e-08,-6.59157703976536,77.1133842692254,626.208416300423,-3.02158970862956,WDR72
Ptpru,19273.0,4.69878952222061e-11,1.45423553687709e-08,6.58018003827964,2275.73710250283,594.912531697837,1.93558443061826,PTPRU
Chrdl2,69121.0,6.48872931748054e-11,1.97473662228658e-08,-6.53202275685021,34.3557149506131,570.7573085578,-4.05425541701294,CHRDL2
Spp1,20750.0,7.17187326847183e-11,2.14685911282452e-08,-6.51701818846784,4545.48016350444,19764.8801204777,-2.12043459762087,SPP1
Gbp8,76074.0,7.56796816645281e-11,2.22888868902304e-08,6.50894647218253,384.67063867709,0.0,inf,GBP6
Crabp1,12903.0,7.91334422937347e-11,2.29361374013269e-08,6.5022386193432,539.418907400953,57.694712584069,3.22489507632107,CRABP1
Fcgbp,215384.0,9.08484601415133e-11,2.59202012841255e-08,6.48144471081696,27606.4704191981,9145.8924783151,1.59381058263773,FCGBP
Fbp2,14120.0,1.03340621089335e-10,2.90307652475578e-08,6.4619816675922,308.961283668494,15.5750212390613,4.31012002779369,FBP2
Rasgef1c,74563.0,1.05444454010372e-10,2.91729656095363e-08,-6.45893203242399,253.493509351921,1212.93378103842,-2.25848007713958,RASGEF1C
Chad,12643.0,1.14494694631662e-10,3.12040764772261e-08,6.44645751076975,1627.30993679592,166.134603947399,3.29206454562611,CHAD
B4galnt3,330406.0,1.47720148776059e-10,3.966720465663e-08,-6.40771144000114,220.519810661532,1092.60901357937,-2.30879705688831,B4GALNT3
Lrrc36,270091.0,1.75716031505277e-10,4.65010831200921e-08,-6.38119095705757,33.1735845906109,407.807927722158,-3.61978300449501,LRRC36
Ephx2,13850.0,1.91455011327801e-10,4.99424072406521e-08,6.36804319054553,735.96586641501,100.698122986929,2.86960206488242,EPHX2
Dnm1,13429.0,2.14639098697958e-10,5.52015484820382e-08,6.35048359639895,588.609058311574,71.9729364706588,3.03178331847045,DNM1
C1qtnf1,56745.0,3.39448483949609e-10,8.60879071794425e-08,6.27959849983846,803.213005916828,59.4496337542953,3.75604280288329,C1QTNF1
Lalba,16770.0,3.87184682809173e-10,9.68492096999383e-08,-6.25910839931198,24.7316781474695,343.06091677227,-3.79403273513583,LALBA
Sphk1,20698.0,5.57062386260133e-10,1.37453202824539e-07,6.20212377019693,769.507727556652,134.742075008437,2.51373539256635,SPHK1
Chi3l1,12654.0,5.64566824306703e-10,1.37453202824539e-07,-6.20001805867708,490.568915372819,1825.34729984646,-1.89564325826053,CHI3L1
Adamts1,11504.0,7.75421907930197e-10,1.86305316300071e-07,6.14987877480178,1563.68282265048,373.255301590578,2.06671324896213,ADAMTS1
Hipk2,15258.0,1.05753406476963e-09,2.48701046000116e-07,6.10047547758139,5951.64104898244,1912.87197184699,1.63754720068891,HIPK2
Fut2,14344.0,1.06235934216917e-09,2.48701046000116e-07,6.09974782094197,368.840709859906,8.28999765018829,5.47548239535706,FUT2
Nqo1,18104.0,1.08271026557512e-09,2.50256828473439e-07,-6.09671392430632,366.66676727929,1451.28398713079,-1.98478843457416,NQO1
Gpd1,14555.0,1.20390640547031e-09,2.74791637048598e-07,-6.07972260238454,158.431213665428,817.415116183061,-2.36721232380064,GPD1
Btbd11,74007.0,1.30125317215909e-09,2.93344233625e-07,6.06724211860642,4605.19320843175,1540.96496323881,1.57942762527199,BTBD11
Heg1,77446.0,1.89076704242226e-09,4.21041538958908e-07,6.00692347259463,3579.8920246065,1162.24914991762,1.62299670345221,HEG1
Pxdn,69675.0,1.96117252481025e-09,4.31457955458255e-07,6.00099067703085,8689.1496830846,2932.54298099621,1.56706274899671,PXDN
Ttyh2,117160.0,3.17985446911651e-09,6.91239792929375e-07,5.92203317843795,1399.47926885001,379.114114138296,1.88418604265219,TTYH2
Cldn2,12738.0,3.30941362184868e-09,7.10939914528905e-07,-5.91546396434672,27.2017920939041,444.51361858543,-4.03045401306889,CLDN2
Vamp1,22317.0,3.39839577296892e-09,7.21566358307122e-07,-5.91109566661634,1021.9059143107,3369.04189380011,-1.72107599324817,VAMP1
Timp3,21859.0,3.93465637642018e-09,8.23051589467082e-07,-5.88691722987899,5350.86730879827,14443.5250750525,-1.43257822974677,TIMP3
Met,17295.0,3.96651368417871e-09,8.23051589467082e-07,-5.88558378950071,2417.15529397798,7016.31780022742,-1.53740393102157,MET
Pcdh18,73173.0,4.4150176807694e-09,9.05822728661227e-07,5.86784271276742,2419.67699300965,743.102908417243,1.70318055145571,PCDH18
Sipa1l2,244668.0,5.27237594457379e-09,1.06474896616538e-06,5.83833911834318,2594.62574206754,697.230253974926,1.8958193773285,SIPA1L2
Tnfrsf21,94185.0,5.30625169337622e-09,1.06474896616538e-06,5.83727173579884,4432.41350041684,1518.47403460109,1.54547023775563,TNFRSF21
Cd40,21939.0,5.72678539935179e-09,1.13664240643656e-06,5.82454661055536,174.07462121653,4.31452392453662,5.33436069632844,CD40
Gsn,227753.0,5.9191724065365e-09,1.16219449616512e-06,5.81902544483545,2345.54538221247,717.101050275921,1.7096750790376,GSN
Pam,18484.0,6.64577930740018e-09,1.29097798035242e-06,-5.7996390972258,2088.78922722656,6063.19251496972,-1.53741070859032,PAM
Kcnj2,16518.0,7.225221742755e-09,1.37515726531661e-06,-5.78560405762804,164.231077683033,1527.09286060058,-3.21698873195773,KCNJ2
Wfdc3,71856.0,7.2297424682582e-09,1.37515726531661e-06,5.78549892146621,1750.93575034844,548.473244097431,1.67463299664963,WFDC3
Garnl3,99326.0,8.49431246078012e-09,1.59903242818397e-06,5.75834398304644,1491.90160005716,289.074732022517,2.36763797056967,GARNL3
Igfbp4,16010.0,9.80196331214866e-09,1.82636581714117e-06,5.73412049239147,2769.33670983514,704.722841205392,1.97441259444427,IGFBP4
Susd5,382111.0,1.02671682792324e-08,1.89372214928064e-06,5.72625529058969,170.374225741815,4.06306728778663,5.38999403355461,SUSD5
Kcnn4,16534.0,1.24509224748756e-08,2.27353844391228e-06,-5.69343418437679,351.901593356513,1916.5958971043,-2.44530223384566,KCNN4
Gpc1,14733.0,1.5309465618408e-08,2.76783012071416e-06,5.65805883673235,1227.78435738062,304.946576794443,2.00942876837247,GPC1
Zfp521,225207.0,1.7179269540263e-08,3.07542609612944e-06,5.63824427881378,3937.51525776585,1069.22351969826,1.88072203592531,ZNF521
Fbn2,14119.0,1.89376358077611e-08,3.35729349368658e-06,5.62143627163702,959.813294590646,216.515510149653,2.14828341976712,FBN2
Ptges,64292.0,2.16007462149069e-08,3.79259255657885e-06,5.59866603399005,1879.783475265,581.099579808383,1.69370917663901,PTGES
Kit,16590.0,2.22393694735703e-08,3.86753225321327e-06,-5.59361196429429,7021.87337544381,19096.9759925803,-1.44341631986264,KIT
Mfge8,17304.0,2.27887117134396e-08,3.9256780744095e-06,-5.58937593301517,10848.1001781442,27391.9856580822,-1.33631144508743,MFGE8
Sept8,20362.0,2.35285206225239e-08,4.01524099595595e-06,5.58382519122269,2210.83564612603,706.823263308444,1.64517035050219,SEPT8
3110079O15Rik,73234.0,2.42682868737235e-08,4.10313813253881e-06,-5.57844163876043,40.8429348258943,360.599023182459,-3.14223704678353,C2orf82
Igfbp5,16011.0,2.79691459538236e-08,4.68547344143871e-06,-5.55369616761608,234309.281317526,575123.287080758,-1.29545715198589,IGFBP5
